epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.318,2.05196,4.41362,1.85873,0.64593,0.09533,0.09749,0.04995,1.59169,3.10695,1.51654,0.0001751,0.0001751,0.0001751
2,333.6,1.82961,2.98502,1.69022,0.62494,0.08756,0.11626,0.05728,1.54482,2.52897,1.50788,0.000333087,0.000333087,0.000333087
3,490.35,1.78146,2.59789,1.66309,0.53325,0.14025,0.13878,0.06537,1.53646,2.45404,1.5241,0.000473716,0.000473716,0.000473716
4,646.998,1.75485,2.41731,1.63523,0.42747,0.14739,0.13564,0.06729,1.47798,6.80809,1.43463,0.000447889,0.000447889,0.000447889
5,802.849,1.71343,2.2739,1.60892,0.38455,0.20171,0.16691,0.07761,1.46605,2.01801,1.41795,0.000421852,0.000421852,0.000421852
6,959.859,1.6994,2.22791,1.60147,0.34146,0.21339,0.18423,0.09085,1.43008,2.02875,1.38757,0.000395815,0.000395815,0.000395815
7,1116.43,1.66542,2.13646,1.56224,0.32132,0.23122,0.19543,0.09334,1.42438,2.20299,1.37787,0.000369778,0.000369778,0.000369778
8,1271.31,1.65213,2.07644,1.5411,0.33761,0.21594,0.19964,0.09811,1.41541,1.87786,1.33326,0.000343741,0.000343741,0.000343741
9,1426.58,1.63671,2.05498,1.54404,0.29691,0.23683,0.20765,0.10017,1.41293,1.79292,1.36577,0.000317704,0.000317704,0.000317704
10,1583.24,1.62908,1.99747,1.5288,0.31152,0.22858,0.1999,0.09978,1.39767,2.46663,1.37158,0.000291667,0.000291667,0.000291667
11,1764.09,1.63505,2.03087,1.58724,0.33945,0.23548,0.21661,0.10883,1.39307,1.7316,1.34503,0.00026563,0.00026563,0.00026563
12,1915.54,1.60597,1.98653,1.56813,0.33588,0.24911,0.23045,0.11499,1.37984,1.77494,1.35553,0.000239593,0.000239593,0.000239593
13,2067.48,1.59767,1.90656,1.56056,0.31494,0.25112,0.23392,0.11618,1.36435,1.80134,1.33015,0.000213556,0.000213556,0.000213556
14,2218.46,1.5855,1.845,1.55323,0.33995,0.26955,0.24906,0.12339,1.35589,1.74348,1.31768,0.000187519,0.000187519,0.000187519
15,2369.44,1.56056,1.85962,1.52022,0.33039,0.26935,0.24485,0.12364,1.35362,1.74204,1.30183,0.000161482,0.000161482,0.000161482
16,2520.76,1.55887,1.82348,1.51594,0.33509,0.27204,0.25587,0.12967,1.34611,1.7596,1.30238,0.000135445,0.000135445,0.000135445
17,2676.88,1.54479,1.79249,1.51459,0.35347,0.2797,0.26136,0.13149,1.34814,1.6845,1.29276,0.000109408,0.000109408,0.000109408
18,2862.92,1.54034,1.71973,1.504,0.36464,0.28786,0.26676,0.13545,1.34463,1.67124,1.30356,8.3371e-05,8.3371e-05,8.3371e-05
19,3050.33,1.52905,1.70346,1.48892,0.36691,0.27627,0.27145,0.13758,1.33153,1.6713,1.28374,5.7334e-05,5.7334e-05,5.7334e-05
20,3289.63,1.50916,1.68356,1.49208,0.34317,0.28669,0.26693,0.13577,1.33127,1.68998,1.29196,3.1297e-05,3.1297e-05,3.1297e-05
